Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,220259
design__instance__area,1.86572E+7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,0
design__max_cap_violation__count__corner:nom_tt_025C_5v00,60
power__internal__total,0.00018779089441522956
power__switching__total,0.00004727600753540173
power__leakage__total,0.000013614529962069355
power__total,0.00024868143373169005
clock__skew__worst_hold__corner:nom_tt_025C_5v00,0.0
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.0
timing__hold__ws__corner:nom_tt_025C_5v00,0.5180847009153456
timing__setup__ws__corner:nom_tt_025C_5v00,22.96584853959594
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,0
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,0
design__max_cap_violation__count__corner:nom_ss_125C_4v50,60
clock__skew__worst_hold__corner:nom_ss_125C_4v50,0.0
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.0
timing__hold__ws__corner:nom_ss_125C_4v50,1.2032717385282594
timing__setup__ws__corner:nom_ss_125C_4v50,12.118793422905389
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,0
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,60
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,0.0
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.0
timing__hold__ws__corner:nom_ff_n40C_5v50,0.15524137970083707
timing__setup__ws__corner:nom_ff_n40C_5v50,25.878354414063683
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
design__max_fanout_violation__count__corner:min_tt_025C_5v00,0
design__max_cap_violation__count__corner:min_tt_025C_5v00,60
clock__skew__worst_hold__corner:min_tt_025C_5v00,0.0
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.0
timing__hold__ws__corner:min_tt_025C_5v00,0.515870361030105
timing__setup__ws__corner:min_tt_025C_5v00,23.28130998327005
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,Infinity
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,0
design__max_fanout_violation__count__corner:min_ss_125C_4v50,0
design__max_cap_violation__count__corner:min_ss_125C_4v50,60
clock__skew__worst_hold__corner:min_ss_125C_4v50,0.0
clock__skew__worst_setup__corner:min_ss_125C_4v50,0.0
timing__hold__ws__corner:min_ss_125C_4v50,1.185827913872004
timing__setup__ws__corner:min_ss_125C_4v50,13.163989382270781
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,0.0
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,0.0
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,Infinity
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,0
timing__setup_r2r__ws__corner:min_ss_125C_4v50,Infinity
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,0
design__max_cap_violation__count__corner:min_ff_n40C_5v50,60
clock__skew__worst_hold__corner:min_ff_n40C_5v50,0.0
clock__skew__worst_setup__corner:min_ff_n40C_5v50,0.0
timing__hold__ws__corner:min_ff_n40C_5v50,0.16345436578008324
timing__setup__ws__corner:min_ff_n40C_5v50,26.10923107172385
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,Infinity
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,Infinity
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,0
design__max_fanout_violation__count__corner:max_tt_025C_5v00,0
design__max_cap_violation__count__corner:max_tt_025C_5v00,60
clock__skew__worst_hold__corner:max_tt_025C_5v00,0.0
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.0
timing__hold__ws__corner:max_tt_025C_5v00,0.5194926857949957
