Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,141
design__inferred_latch__count,0
design__instance__count,123799
design__instance__area,2.36557E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,65
design__max_cap_violation__count__corner:nom_tt_025C_5v00,55
power__internal__total,0.1172918975353241
power__switching__total,0.029108937829732895
power__leakage__total,0.00001562093893880956
power__total,0.14641645550727844
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-0.6811484902243194
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.809884626730241
timing__hold__ws__corner:nom_tt_025C_5v00,0.3344862259621443
timing__setup__ws__corner:nom_tt_025C_5v00,7.830326830793902
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.334486
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,15.747471
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,129
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,65
design__max_cap_violation__count__corner:nom_ss_125C_4v50,60
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-0.978304576150699
clock__skew__worst_setup__corner:nom_ss_125C_4v50,1.2010650591821053
timing__hold__ws__corner:nom_ss_125C_4v50,0.8630145731209002
timing__setup__ws__corner:nom_ss_125C_4v50,1.7050450423044945
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,0.863015
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,2.929298
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,65
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,51
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-0.5409477463526675
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.6249143601690159
timing__hold__ws__corner:nom_ff_n40C_5v50,0.1081890163634666
timing__setup__ws__corner:nom_ff_n40C_5v50,10.51151906380663
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.108189
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,19.083715
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,785
design__max_fanout_violation__count,65
design__max_cap_violation__count,170
clock__skew__worst_hold,-0.5130404024602987
clock__skew__worst_setup,0.5815456059092289
timing__hold__ws,0.10513012979950814
timing__setup__ws,1.4556569694973986
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.105130
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.931497
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1675.0 1675.0
design__core__bbox,100.24 101.92 1639.68 1638.56
design__io,48
design__die__area,2.80562E+6
design__core__area,2.36557E+6
design__instance__count__stdcell,68252
design__instance__area__stdcell,1.55574E+6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.657661
design__instance__utilization__stdcell,0.657661
design__rows,392
design__rows:GF018hv5v_mcu_sc7,392
design__sites,1077608
design__sites:GF018hv5v_mcu_sc7,1077608
design__instance__count__class:tie_cell,35
design__instance__area__class:tie_cell,307.328
design__instance__count__class:buffer,3777
design__instance__area__class:buffer,53758.3
design__instance__count__class:inverter,1263
design__instance__area__class:inverter,12086.8
design__instance__count__class:sequential_cell,5037
design__instance__area__class:sequential_cell,373930
design__instance__count__class:multi_input_combinational_cell,33799
design__instance__area__class:multi_input_combinational_cell,786650
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,784
design__instance__area__class:endcap_cell,3442.07
design__instance__count__class:tap_cell,15370
design__instance__area__class:tap_cell,67480.4
flow__warnings__count:PDN-0239,1
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,2.86323E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,7747
design__instance__area__class:timing_repair_buffer,249116
flow__warnings__count:RSZ-0020,1
flow__warnings__count:RSZ-0065,1
design__instance__count__class:clock_inverter,419
design__instance__area__class:clock_inverter,8877.39
flow__warnings__count:CTS-0128,1
flow__warnings__count:CTS-0132,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,212
global_route__wirelength,4468396
flow__warnings__count:GRT-0041,1001
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,17
design__instance__count__class:antenna_cell,21
design__instance__area__class:antenna_cell,92.1984
route__net,51941
route__net__special,2
route__drc_errors__iter:0,329
route__wirelength__iter:0,3191803
route__drc_errors__iter:1,47
route__wirelength__iter:1,3191619
route__drc_errors__iter:2,51
route__wirelength__iter:2,3191590
route__drc_errors__iter:3,4
route__wirelength__iter:3,3191598
route__drc_errors__iter:4,4
route__wirelength__iter:4,3191598
route__drc_errors__iter:5,0
route__wirelength__iter:5,3191614
route__drc_errors__iter:6,117
route__wirelength__iter:6,3190332
route__drc_errors__iter:7,106
