Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,141
design__inferred_latch__count,0
design__instance__count,102735
design__instance__area,1.93416E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,603
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,1
design__max_cap_violation__count__corner:nom_tt_025C_5v00,432
power__internal__total,0.2643555998802185
power__switching__total,0.08731640875339508
power__leakage__total,0.000014017096873431001
power__total,0.3516860008239746
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-0.7199303579281418
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.8638863202644906
timing__hold__ws__corner:nom_tt_025C_5v00,0.27556802064659613
timing__setup__ws__corner:nom_tt_025C_5v00,4.529628356162665
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.275568
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,4.529628
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,9629
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,1
design__max_cap_violation__count__corner:nom_ss_125C_4v50,446
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-1.0835355142036942
clock__skew__worst_setup__corner:nom_ss_125C_4v50,1.3371002461475539
timing__hold__ws__corner:nom_ss_125C_4v50,0.3393649901595379
timing__setup__ws__corner:nom_ss_125C_4v50,-7.766218110646828
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,-10990.271531915749
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,-7.766218110646828
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,0.764769
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,3241
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,-7.766218
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,3241
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,8
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,1
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,425
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-0.558132666992258
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.6524263536311344
timing__hold__ws__corner:nom_ff_n40C_5v50,0.0667799168198682
timing__setup__ws__corner:nom_ff_n40C_5v50,9.087110876533314
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.066780
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,9.918181
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,11421
design__max_fanout_violation__count,1
design__max_cap_violation__count,567
clock__skew__worst_hold,-0.5536119497304323
clock__skew__worst_setup,0.6337269777208209
timing__hold__ws,0.06605649547656268
timing__setup__ws,-9.60873718899738
timing__hold__tns,0.0
timing__setup__tns,-15536.55645978289
timing__hold__wns,0
timing__setup__wns,-9.60873718899738
timing__hold_vio__count,0
timing__hold_r2r__ws,0.066056
timing__hold_r2r_vio__count,0
timing__setup_vio__count,9687
timing__setup_r2r__ws,-9.608737
timing__setup_r2r_vio__count,9687
design__die__bbox,0.0 0.0 1400.0 1400.0
design__core__bbox,1.12 7.84 1398.88 1391.6
design__io,9
design__die__area,1.96E+6
design__core__area,1.93416E+6
design__instance__count__stdcell,62308
design__instance__area__stdcell,1.45374E+6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.751612
design__instance__utilization__stdcell,0.751612
design__rows,353
design__rows:GF018hv5v_mcu_sc7,353
design__sites,881088
design__sites:GF018hv5v_mcu_sc7,881088
design__instance__count__class:buffer,3826
design__instance__area__class:buffer,51596
design__instance__count__class:inverter,1309
design__instance__area__class:inverter,12376.5
design__instance__count__class:sequential_cell,5037
design__instance__area__class:sequential_cell,373779
design__instance__count__class:multi_input_combinational_cell,33894
design__instance__area__class:multi_input_combinational_cell,798642
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,706
design__instance__area__class:endcap_cell,3099.62
design__instance__count__class:tap_cell,12606
design__instance__area__class:tap_cell,55345.4
flow__warnings__count:PDN-0239,1
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
floorplan__design__io,7
design__io__hpwl,13090715
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,4572.96
design__instance__displacement__mean,0.073
design__instance__displacement__max,38.64
route__wirelength__estimated,2.72941E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,4018
design__instance__area__class:timing_repair_buffer,118168
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,491
design__instance__area__class:clock_buffer,27075.6
design__instance__count__class:clock_inverter,351
design__instance__area__class:clock_inverter,13351.2
flow__warnings__count:CTS-0128,1
flow__warnings__count:CTS-0132,1
design__instance__count__setup_buffer,6
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,40
global_route__wirelength,4373334
flow__warnings__count:GRT-0041,1001
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,36
design__instance__count__class:antenna_cell,70
design__instance__area__class:antenna_cell,307.328
route__net,48551
route__net__special,2
route__drc_errors__iter:0,26
route__wirelength__iter:0,3136962
route__drc_errors__iter:1,3
route__wirelength__iter:1,3136948
route__drc_errors__iter:2,0
route__wirelength__iter:2,3136946
route__drc_errors__iter:3,0
route__wirelength__iter:3,3136933
route__drc_errors__iter:4,0
route__wirelength__iter:4,3136839
route__drc_errors__iter:5,242
route__wirelength__iter:5,3136597
route__drc_errors__iter:6,37
